id,pm25,pm10,so2,no,o3
842,8.0,,,,
843,,24.91,5.495,,
844,18.078,29.52,2.04609,,
845,,40.3891,1.637,,38.55
846,,32.3719,3.13,,
847,,24.1313,8.6758,,102.953
848,33.544047355651855,88.68020884195964,,,
849,,37.0,1.0,,97.0
850,,27.0,3.0,,19.0
851,,62.0,13.0,,3.0
852,18.81,18.9,,,
853,5.74,5.74,,,
854,10.32,-1.0,7.39,2.44,116.71
855,,26.49,4.23,12.36,83.46
856,8.94,27.2,7.55,,89.86
857,,26.61,6.87,7.05,
858,,15.34,15.27,,98.72
859,,41.6,7.02,8.97,36.11
860,18.68154,40.36746,4.929346,2.434867,111.148
861,,,4.560635,1.85821,115.2069
862,,,0.886401,,81.02033
863,1.795833354194959,1.8291666905085249,,,
864,4.6,7.6,9.1,1.0,71.6
865,,13.8,,5.7,
866,,15.8,,7.4,59.9
867,,14.8,,,
868,,4.4,,2.1,
869,8.8,3.3,,,68.0
870,,5.4,,1.9,64.6
871,,7.5,,,59.3
872,,6.4,,14.6,
873,3.7,15.1,5.9,1.0,47.9
874,,18.0,,29.0,
875,,12.5,,3.9,
876,0.0,0.0,,,
877,,,,,
878,,,,5.93,-1.0
879,,,,27.65,
880,,,,,
881,1.6279761989911397,,,,
882,,35.429,0.440654,,87.8579
883,,40.918,0.820769,,90.7712
884,19.522,39.7321,0.70495,,92.9601
885,,18.58372,,,
886,7.804929,20.89015,,,
887,7.339555,17.79283,,,
888,7.574399,19.4749,0.501148,,92.30174
889,8.08,11.52,,8.41,56.86
890,11.07,16.58,,12.07,
891,10.52,14.8,,7.58,
892,11.77,17.6,,39.24,
893,,18.0,,1.0,86.0
894,,19.0,,20.0,75.0
895,,21.0,,2.0,79.0
896,,,,2.0,86.0
897,8.0,20.0,,1.0,64.0
898,16.0,16.0,4.0,6.0,
899,,,2.0,,5.0
900,,,,,85.0
901,12.0,38.0,2.0,,41.0
902,,,2.0,62.0,40.0
903,,,,5.0,9.0
904,,4.0,,,66.5
905,4.0,7.0,,,
906,15.0,38.0,,,
907,4.0,7.0,,,78.8
908,11.0,15.0,6.9,,78.8
909,,33.44966,7.925984,,33.51633
910,,25.87436,-1.0,,53.61179
911,,11.6362,5.616067,,
912,,31.4299,-1.0,,
913,2.21667,5.8,11.9111,1.6875,
914,3.0,7.95,,,
915,2.89862,4.91194,2.49833,1.22367,
916,-1.0,11.0,7.37712,7.08014,
917,3.51867,-1.0,6.882,-0.046,
918,3.23419,8.36827,,-1.40268,28.405
919,0.8,13.75,,,
920,,53.0,,0.0,53.0
921,,44.0,,4.0,
922,,,,,
923,14.0,50.0,,7.0,
924,10.0,31.0,,4.0,42.0
925,13.0,69.0,,1.0,42.0
926,,43.0,-1.0,1.0,48.0
927,-999.0,,,,
928,,40.0,,,95.545
929,16.0,41.0,1.021,,93.431
930,,40.0,,,95.545
931,,,0.6,,24.117188
932,,-1.0,,,
933,-1.0,-1.0,,,-1.0
934,,-1.0,-1.0,,-1.0
935,,-1.0,-1.0,,
936,,,,5.9,
937,3.5,9.5,3.6,4.2,33.0
938,2.0,9.0,,5.7,
939,,,,,
940,,,,,
941,14.0455,27.16383,0.25043,,
942,8.6101,38.65217,,,80.43267
943,32.30416711171468,35.545833110809326,,,
944,13.0,,,,
945,,12.1,,6.5,
946,3.3,12.2,,,
947,,47.0,,16.9,
948,0.0,,,,
949,7.9,9.7,3.8,,
950,,,,,
951,14.90833330154419,15.912499984105429,,,
952,4.3,13.0,,-999.0,-999.0
953,,,,-999.0,68.9
954,-0.292048,3.728519,0.182007,,61.071167
