location name,lat,lon,day,time,pm2.5,pm10,so2,no2,o3,co,no,nox
London Marylebone Road,51.52253,-0.154611,2024-08-31,12:00:00+00:00,12.0,22.0,1.0,10.0,44.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,11:00:00+00:00,12.0,23.0,1.0,8.0,43.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,10:00:00+00:00,12.0,22.0,1.0,9.0,43.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,09:00:00+00:00,12.0,22.0,1.0,9.0,43.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,08:00:00+00:00,12.0,22.0,1.0,8.0,44.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,07:00:00+00:00,12.0,23.0,1.0,6.0,45.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,06:00:00+00:00,12.0,23.0,1.0,5.0,46.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,05:00:00+00:00,12.0,23.0,1.0,4.0,47.0,,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,04:00:00+00:00,12.0,,1.0,2.0,47.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,03:00:00+00:00,12.0,,1.0,2.0,47.0,-400.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,02:00:00+00:00,12.0,,1.0,1.0,46.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,01:00:00+00:00,12.0,,1.0,4.0,44.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-31,00:00:00+00:00,13.0,,1.0,4.0,43.0,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,23:00:00+00:00,,,0.0,4.2,56.8,-300.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,22:00:00+00:00,15.0,,0.0,7.0,58.0,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,21:00:00+00:00,15.0,,0.0,15.5,,-200.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,20:00:00+00:00,15.0,,1.33045,20.5,50.0,-100.0,,
London Marylebone Road,51.52253,-0.154611,2024-08-30,19:00:00+00:00,15.0,,0.6,31.6,50.0,-200.0,,
